기업,종목코드,기간,기준일,항목,값(원),값구분,출처,라운드
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 자산총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 부채총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 총자본(자기자본),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기별 매출액,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기별 영업이익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기별 당기순이익(지배),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기별 영업활동현금흐름,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 지배지분 자본,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001192,3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 종가,80300,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, LS산전 ; 종가 80300 × 상장주식수 30000000 = 시가총액 2409000000000)",3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 상장주식수,30000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, LS산전 ; 종가 80300 × 상장주식수 30000000 = 시가총액 2409000000000)",3
LS ELECTRIC,010120,2010Q1,2010-03-31,분기말 시가총액,2409000000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, LS산전 ; 종가 80300 × 상장주식수 30000000 = 시가총액 2409000000000)",3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 자산총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 부채총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 총자본(자기자본),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기별 매출액,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기별 영업이익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기별 당기순이익(지배),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 지배지분 자본,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816000485,3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 종가,78000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, LS산전 ; 종가 78000 × 상장주식수 30000000 = 시가총액 2340000000000)",3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 상장주식수,30000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, LS산전 ; 종가 78000 × 상장주식수 30000000 = 시가총액 2340000000000)",3
LS ELECTRIC,010120,2010Q2,2010-06-30,분기말 시가총액,2340000000000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, LS산전 ; 종가 78000 × 상장주식수 30000000 = 시가총액 2340000000000)",3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기말 자산총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기말 부채총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기말 총자본(자기자본),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기별 매출액,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기별 영업이익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기별 당기순이익(지배),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
LS ELECTRIC,010120,2010Q3,2010-09-30,분기별 영업활동현금흐름,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101115000649,3
