기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
삼성SDI,006400,2014Q1,2014-03-31,분기별 매출액,재분류(미반영),1135684154436,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20140425000539,5474221640643,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20150515002070,3
삼성SDI,006400,2014Q1,2014-03-31,분기별 영업이익,재분류(미반영),-38955247489,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20140425000539,70817508605,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20150515002070,3
삼성SDI,006400,2014Q1,2014-03-31,분기별 당기순이익(지배),재분류(미반영),39133291084,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20140425000539,-83847754497,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20150515002070,3
삼성SDI,006400,2017Q1,2017-03-31,분기별 매출액,재작성 반영,1304779107036,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170515004114,1304805917367,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515001787,3
삼성SDI,006400,2017Q2,2017-06-30,분기별 매출액,재작성 반영,1454310799174,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20170814001682,1468546288073,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180814001141,3
삼성SDI,006400,2017Q3,2017-09-30,분기별 매출액,재작성 반영,1708005320174,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002697,1721048393522,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114001947,3
삼성SDI,006400,2017Q4,2017-12-31,분기말 자산총계,재작성 반영,15751476329733,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180330001740,15741705378257,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515001787,3
삼성SDI,006400,2017Q4,2017-12-31,분기말 부채총계,재작성 반영,4299476832291,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180330001740,4289705880815,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515001787,3
삼성SDI,006400,2017Q4,2017-12-31,분기별 매출액,재작성 반영,1854465695585,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180330001740 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20171114002697,1827160323007,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20180515001787 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20181114001947,3
삼성SDI,006400,2023Q3,2023-09-30,분기별 매출액,재분류(미반영),5948108273682,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231114002259,5603033434180,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241114002265,3
삼성SDI,006400,2023Q3,2023-09-30,분기별 영업이익,재분류(미반영),496003670489,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231114002259,465225832929,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241114002265,3
삼성SDI,006400,2023Q4,2023-12-31,분기별 매출액,재분류(미반영),5564765035920,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000853 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231114002259,6544992423296,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241114002265,3
삼성SDI,006400,2023Q4,2023-12-31,분기별 영업이익,재분류(미반영),311787770649,계산(연간-3분기누적),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240312000853 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20231114002259,383175252812,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20241114002265,3
삼성SDI,006400,2024Q1,2024-03-31,분기별 매출액,재분류(미반영),5130893462037,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240516002154,4816180543396,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250430000991,3
삼성SDI,006400,2024Q1,2024-03-31,분기별 영업이익,재분류(미반영),267381306037,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240516002154,249080330833,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250430000991,3
삼성SDI,006400,2024Q2,2024-06-30,분기별 매출액,재분류(미반영),4450134429064,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240814004401,4085942678099,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003107,3
삼성SDI,006400,2024Q2,2024-06-30,분기별 영업이익,재분류(미반영),280220396631,공시,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20240814004401,240970035515,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20250814003107,3
