기업,종목코드,기간,기준일,항목,값(원),값구분,출처,라운드
현대모비스,012330,2010Q1,2010-03-31,분기말 자산총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기말 부채총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기별 매출액,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기별 영업이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q1,2010-03-31,분기말 종가,150000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 현대모비스 ; 종가 150000 × 상장주식수 97343863 = 시가총액 14601579450000)",3
현대모비스,012330,2010Q1,2010-03-31,분기말 상장주식수,97343863,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 현대모비스 ; 종가 150000 × 상장주식수 97343863 = 시가총액 14601579450000)",3
현대모비스,012330,2010Q1,2010-03-31,분기말 시가총액,14601579450000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 현대모비스 ; 종가 150000 × 상장주식수 97343863 = 시가총액 14601579450000)",3
현대모비스,012330,2010Q2,2010-06-30,분기말 자산총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기말 부채총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기별 매출액,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기별 영업이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기별 당기순이익(지배),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001214,3
현대모비스,012330,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001227,3
현대모비스,012330,2010Q2,2010-06-30,분기말 종가,207000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 현대모비스 ; 종가 207000 × 상장주식수 97343863 = 시가총액 20150179641000)",3
현대모비스,012330,2010Q2,2010-06-30,분기말 상장주식수,97343863,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 현대모비스 ; 종가 207000 × 상장주식수 97343863 = 시가총액 20150179641000)",3
현대모비스,012330,2010Q2,2010-06-30,분기말 시가총액,20150179641000,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 현대모비스 ; 종가 207000 × 상장주식수 97343863 = 시가총액 20150179641000)",3
현대모비스,012330,2010Q3,2010-09-30,분기말 자산총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101111000363,3
현대모비스,012330,2010Q3,2010-09-30,분기말 부채총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101111000363,3
현대모비스,012330,2010Q3,2010-09-30,분기말 총자본(자기자본),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101111000363,3
현대모비스,012330,2010Q3,2010-09-30,분기별 매출액,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101111000363,3
현대모비스,012330,2010Q3,2010-09-30,분기별 영업이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101111000363,3
현대모비스,012330,2010Q3,2010-09-30,분기별 당기순이익(지배),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20101111000363,3
