기업,종목코드,기간,기준일,항목,값(원),값구분,출처,라운드
한국전력,015760,2010Q1,2010-03-31,분기말 자산총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기말 부채총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기별 매출액,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기별 영업이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q1,2010-03-31,분기말 종가,36550,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 한국전력 ; 종가 36550 × 상장주식수 641567712 = 시가총액 23449299873600)",4
한국전력,015760,2010Q1,2010-03-31,분기말 상장주식수,641567712,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 한국전력 ; 종가 36550 × 상장주식수 641567712 = 시가총액 23449299873600)",4
한국전력,015760,2010Q1,2010-03-31,분기말 시가총액,23449299873600,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100331 (KOSPI, 한국전력 ; 종가 36550 × 상장주식수 641567712 = 시가총액 23449299873600)",4
한국전력,015760,2010Q2,2010-06-30,분기말 자산총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기말 부채총계,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기별 매출액,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기별 영업이익,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기별 당기순이익(지배),미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201 ; https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100517001617,4
한국전력,015760,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,미확인,https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100816001201,4
한국전력,015760,2010Q2,2010-06-30,분기말 종가,31600,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 한국전력 ; 종가 31600 × 상장주식수 641567712 = 시가총액 20273539699200)",4
한국전력,015760,2010Q2,2010-06-30,분기말 상장주식수,641567712,API,"https://data-dbg.krx.co.kr/svc/apis/sto/stk_bydd_trd?basDd=20100630 (KOSPI, 한국전력 ; 종가 31600 × 상장주식수 641567712 = 시가총액 20273539699200)",4
