기업,종목코드,기간,기준일,항목,값(원),값구분,출처,항목세트,라운드
NH투자증권,005940,2010Q1,2010-03-31,분기말 자산총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기말 부채총계,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기말 총자본(자기자본),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기별 영업수익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기별 영업이익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기별 당기순이익(지배),데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기별 순이자이익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기별 순수수료이익,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기별 영업활동현금흐름,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
NH투자증권,005940,2010Q1,2010-03-31,분기말 지배지분 자본,데이터 없음(보고서에 연결재무제표 없음),데이터 없음(연결 미수록),https://dart.fss.or.kr/dsaf001/main.do?rcpNo=20100625000270,금융,13
