기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Lennox,LII,2010Q1,2010-03-31,분기별 매출액,644100000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1069202/000095012311039069/,SalesRevenueNet ; 그 분기 보고서에 연결 총계가 없어 2011-04-26 제출본의 비교기간에서 읽었다,27
Lennox,LII,2010Q1,2010-03-31,분기별 영업이익,500000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1069202/000095012311039069/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-26 제출본의 비교기간에서 읽었다,27
Lennox,LII,2010Q1,2010-03-31,분기별 당기순이익(지배),-1600000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1069202/000095012311039069/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-04-26 제출본의 비교기간에서 읽었다,27
Lennox,LII,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069202/000095012310041604/,,27
Lennox,LII,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069202/000095012310041604/,,27
Lennox,LII,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069202/000095012310041604/,,27
Lennox,LII,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069202/000095012310041604/,,27
Lennox,LII,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069202/000095012310041604/,,27
Lennox,LII,2010Q1,2010-03-31,분기말 종가,44.32,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LII?interval=1d&events=splits (2010-03-31),,27
Lennox,LII,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,27
Lennox,LII,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,27
Lennox,LII,2010Q2,2010-06-30,분기별 매출액,872100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기별 영업이익,79300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기별 당기순이익(지배),48300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기말 자산총계,1667200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기말 부채총계,1144600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기말 총자본(자기자본),522600000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,"StockholdersEquity, MinorityInterest 태그 없음",27
Lennox,LII,2010Q2,2010-06-30,분기말 지배지분 자본,522600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,,27
Lennox,LII,2010Q2,2010-06-30,분기말 종가,41.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LII?interval=1d&events=splits (2010-06-30),,27
Lennox,LII,2010Q2,2010-07-22,분기말 상장주식수,54438945,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,dei:EntityCommonStockSharesOutstanding 클래스 합,27
Lennox,LII,2010Q2,2010-06-30,분기말 시가총액,2263026944,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LII?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,종가 41.57 × 주식수 54438945,27
Lennox,LII,2010Q3,2010-09-30,분기별 매출액,818200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,,27
Lennox,LII,2010Q3,2010-09-30,분기별 영업이익,66600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,,27
Lennox,LII,2010Q3,2010-09-30,분기별 당기순이익(지배),41800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,,27
Lennox,LII,2010Q3,2010-09-30,분기별 영업활동현금흐름,69600000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095013410000015/,누적 43600000 − 직전누적 -26000000 (시작 2010-01-01),27
Lennox,LII,2010Q3,2010-09-30,분기말 자산총계,1697300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,,27
Lennox,LII,2010Q3,2010-09-30,분기말 부채총계,1140700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,,27
Lennox,LII,2010Q3,2010-09-30,분기말 총자본(자기자본),556600000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,"StockholdersEquity, MinorityInterest 태그 없음",27
Lennox,LII,2010Q3,2010-09-30,분기말 지배지분 자본,556600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,,27
Lennox,LII,2010Q3,2010-09-30,분기말 종가,41.69,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LII?interval=1d&events=splits (2010-09-30),,27
Lennox,LII,2010Q3,2010-10-19,분기말 상장주식수,53439246,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,dei:EntityCommonStockSharesOutstanding 클래스 합,27
Lennox,LII,2010Q3,2010-09-30,분기말 시가총액,2227882166,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LII?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,종가 41.69 × 주식수 53439246,27
Lennox,LII,2010Q4,2010-12-31,분기별 매출액,762000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,연간 3096400000 − 9개월누적 2334400000 (SalesRevenueNet),27
Lennox,LII,2010Q4,2010-12-31,분기별 영업이익,44000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,연간 190400000 − 9개월누적 146400000 (OperatingIncomeLoss),27
Lennox,LII,2010Q4,2010-12-31,분기별 당기순이익(지배),27700000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,연간 116200000 − 9개월누적 88500000 (NetIncomeLoss),27
Lennox,LII,2010Q4,2010-12-31,분기별 영업활동현금흐름,142200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/ ; https://www.sec.gov/Archives/edgar/data/1069202/000095012310096054/,누적 185800000 − 직전누적 43600000 (시작 2010-01-01),27
Lennox,LII,2010Q4,2010-12-31,분기말 자산총계,1692000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,,27
Lennox,LII,2010Q4,2010-12-31,분기말 부채총계,1102300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,,27
Lennox,LII,2010Q4,2010-12-31,분기말 총자본(자기자본),589700000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,"StockholdersEquity, MinorityInterest 태그 없음",27
Lennox,LII,2010Q4,2010-12-31,분기말 지배지분 자본,589700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,,27
Lennox,LII,2010Q4,2010-12-31,분기말 종가,47.29,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LII?interval=1d&events=splits (2010-12-31),,27
Lennox,LII,2010Q4,2011-02-07,분기말 상장주식수,53720904,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1069202/000095012311015556/,dei:EntityCommonStockSharesOutstanding 클래스 합,27
