기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
CF Industries,CF,2010Q1,2010-03-31,분기별 매출액,502400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기별 영업이익,-26500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기별 당기순이익(지배),-4400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기별 영업활동현금흐름,47500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기말 자산총계,2633100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기말 부채총계,894100000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,부채및자본 2633100000 − 총자본 1739000000,19
CF Industries,CF,2010Q1,2010-03-31,분기말 총자본(자기자본),1739000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기말 지배지분 자본,1711200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,,19
CF Industries,CF,2010Q1,2010-03-31,분기말 종가,91.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-03-31),분할조정 종가 18.236 × 이후 분할계수 5,19
CF Industries,CF,2010Q1,2010-04-30,분기말 상장주식수,71051750,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2010Q1,2010-03-31,분기말 시가총액,6478498565,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,종가 91.18 × 주식수 71051750,19
CF Industries,CF,2010Q2,2010-06-30,분기별 매출액,1307900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,,19
CF Industries,CF,2010Q2,2010-06-30,분기별 영업이익,350400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,,19
CF Industries,CF,2010Q2,2010-06-30,분기별 당기순이익(지배),105100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,,19
CF Industries,CF,2010Q2,2010-06-30,분기별 영업활동현금흐름,-1500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910004975/,누적 46000000 − 직전누적 47500000 (시작 2010-01-01),19
CF Industries,CF,2010Q2,2010-06-30,분기말 자산총계,8595300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,,19
CF Industries,CF,2010Q2,2010-06-30,분기말 부채총계,4400200000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,부채및자본 8595300000 − 총자본 4195100000,19
CF Industries,CF,2010Q2,2010-06-30,분기말 총자본(자기자본),4195100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,,19
CF Industries,CF,2010Q2,2010-06-30,분기말 지배지분 자본,3771000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,,19
CF Industries,CF,2010Q2,2010-06-30,분기말 종가,63.45,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-06-30),분할조정 종가 12.69 × 이후 분할계수 5,19
CF Industries,CF,2010Q2,2010-07-30,분기말 상장주식수,71081281,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2010Q2,2010-06-30,분기말 시가총액,4510107279,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,종가 63.45 × 주식수 71081281,19
CF Industries,CF,2010Q3,2010-09-30,분기별 매출액,917100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,,19
CF Industries,CF,2010Q3,2010-09-30,분기별 영업이익,136800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,,19
CF Industries,CF,2010Q3,2010-09-30,분기별 당기순이익(지배),48200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,,19
CF Industries,CF,2010Q3,2010-09-30,분기별 영업활동현금흐름,588000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910007131/,누적 634000000 − 직전누적 46000000 (시작 2010-01-01),19
CF Industries,CF,2010Q3,2010-09-30,분기말 자산총계,8617500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,,19
CF Industries,CF,2010Q3,2010-09-30,분기말 부채총계,4315600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,부채및자본 8617500000 − 총자본 4301900000,19
CF Industries,CF,2010Q3,2010-09-30,분기말 총자본(자기자본),4301900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,,19
CF Industries,CF,2010Q3,2010-09-30,분기말 지배지분 자본,3863700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,,19
CF Industries,CF,2010Q3,2010-09-30,분기말 종가,95.5,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-09-30),분할조정 종가 19.1 × 이후 분할계수 5,19
CF Industries,CF,2010Q3,2010-10-29,분기말 상장주식수,71128739,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2010Q3,2010-09-30,분기말 시가총액,6792794574,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,종가 95.5 × 주식수 71128739,19
CF Industries,CF,2010Q4,2010-12-31,분기별 매출액,1237600000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,연간 3965000000 − 9개월누적 2727400000 (SalesRevenueNet),19
CF Industries,CF,2010Q4,2010-12-31,분기별 영업이익,435000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,연간 895700000 − 9개월누적 460700000 (OperatingIncomeLoss),19
CF Industries,CF,2010Q4,2010-12-31,분기별 당기순이익(지배),200300000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,연간 349200000 − 9개월누적 148900000 (NetIncomeLoss),19
CF Industries,CF,2010Q4,2010-12-31,분기별 영업활동현금흐름,560400000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746910009305/,누적 1194400000 − 직전누적 634000000 (시작 2010-01-01),19
CF Industries,CF,2010Q4,2010-12-31,분기말 자산총계,8754000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,원 공시 8758500000 (https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/),19
CF Industries,CF,2010Q4,2010-12-31,분기말 부채총계,4320600000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,부채및자본 8754000000 − 총자본 4433400000 ; 원 공시 4325100000 (https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/),19
CF Industries,CF,2010Q4,2010-12-31,분기말 총자본(자기자본),4433400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/,,19
CF Industries,CF,2010Q4,2010-12-31,분기말 지배지분 자본,4050400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/,,19
CF Industries,CF,2010Q4,2010-12-31,분기말 종가,135.15,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-12-31),분할조정 종가 27.03 × 이후 분할계수 5,19
CF Industries,CF,2010Q4,2011-01-31,분기말 상장주식수,71297936,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2010Q4,2010-12-31,분기말 시가총액,9635916050,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746911001417/,종가 135.15 × 주식수 71297936,19
CF Industries,CF,2011Q1,2011-03-31,분기별 매출액,1174000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기별 영업이익,534400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기별 당기순이익(지배),282000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기별 영업활동현금흐름,671200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기말 자산총계,9189900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기말 부채총계,4398300000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,부채및자본 9189900000 − 총자본 4791600000,19
CF Industries,CF,2011Q1,2011-03-31,분기말 총자본(자기자본),4791600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기말 지배지분 자본,4363100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,,19
CF Industries,CF,2011Q1,2011-03-31,분기말 종가,136.79,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-03-31),분할조정 종가 27.358 × 이후 분할계수 5,19
CF Industries,CF,2011Q1,2011-04-29,분기말 상장주식수,71483272,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2011Q1,2011-03-31,분기말 시가총액,9778196777,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,종가 136.79 × 주식수 71483272,19
CF Industries,CF,2011Q2,2011-06-30,분기별 매출액,1801700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,,19
CF Industries,CF,2011Q2,2011-06-30,분기별 영업이익,844700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,,19
CF Industries,CF,2011Q2,2011-06-30,분기별 당기순이익(지배),487400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,,19
CF Industries,CF,2011Q2,2011-06-30,분기별 영업활동현금흐름,250900000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746911004686/,누적 922100000 − 직전누적 671200000 (시작 2011-01-01),19
CF Industries,CF,2011Q2,2011-06-30,분기말 자산총계,9420000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,,19
CF Industries,CF,2011Q2,2011-06-30,분기말 부채총계,4088200000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,부채및자본 9420000000 − 총자본 5331800000,19
CF Industries,CF,2011Q2,2011-06-30,분기말 총자본(자기자본),5331800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,,19
CF Industries,CF,2011Q2,2011-06-30,분기말 지배지분 자본,4868500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,,19
CF Industries,CF,2011Q2,2011-06-30,분기말 종가,141.67,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-06-30),분할조정 종가 28.334 × 이후 분할계수 5,19
CF Industries,CF,2011Q2,2011-07-29,분기말 상장주식수,71753373,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2011Q2,2011-06-30,분기말 시가총액,10165300353,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,종가 141.67 × 주식수 71753373,19
CF Industries,CF,2011Q3,2011-09-30,분기별 매출액,1403800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,,19
CF Industries,CF,2011Q3,2011-09-30,분기별 영업이익,582300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,,19
CF Industries,CF,2011Q3,2011-09-30,분기별 당기순이익(지배),330900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,,19
CF Industries,CF,2011Q3,2011-09-30,분기별 영업활동현금흐름,1033000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746911007023/,누적 1955100000 − 직전누적 922100000 (시작 2011-01-01),19
CF Industries,CF,2011Q3,2011-09-30,분기말 자산총계,9245800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,,19
CF Industries,CF,2011Q3,2011-09-30,분기말 부채총계,4496000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,부채및자본 9245800000 − 총자본 4749800000,19
CF Industries,CF,2011Q3,2011-09-30,분기말 총자본(자기자본),4749800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,,19
CF Industries,CF,2011Q3,2011-09-30,분기말 지배지분 자본,4262800000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,,19
CF Industries,CF,2011Q3,2011-09-30,분기말 종가,123.39,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-09-30),분할조정 종가 24.678 × 이후 분할계수 5,19
CF Industries,CF,2011Q3,2011-10-27,분기말 상장주식수,65388104,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2011Q3,2011-09-30,분기말 시가총액,8068238153,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,종가 123.39 × 주식수 65388104,19
CF Industries,CF,2011Q4,2011-12-31,분기별 매출액,1718400000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/ ; https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,연간 6097900000 − 9개월누적 4379500000 (SalesRevenueNet),19
CF Industries,CF,2011Q4,2011-12-31,분기별 영업이익,829100000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/ ; https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,연간 2790500000 − 9개월누적 1961400000 (OperatingIncomeLoss),19
CF Industries,CF,2011Q4,2011-12-31,분기별 당기순이익(지배),438900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/ ; https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,연간 1539200000 − 9개월누적 1100300000 (NetIncomeLoss),19
CF Industries,CF,2011Q4,2011-12-31,분기별 영업활동현금흐름,123800000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/ ; https://www.sec.gov/Archives/edgar/data/1324404/000110465911061681/,누적 2078900000 − 직전누적 1955100000 (시작 2011-01-01),19
CF Industries,CF,2011Q4,2011-12-31,분기말 자산총계,8974500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,,19
CF Industries,CF,2011Q4,2011-12-31,분기말 부채총계,4041600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,부채및자본 8974500000 − 총자본 4932900000,19
CF Industries,CF,2011Q4,2011-12-31,분기말 총자본(자기자본),4932900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,,19
CF Industries,CF,2011Q4,2011-12-31,분기말 지배지분 자본,4547000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,,19
CF Industries,CF,2011Q4,2011-12-30,분기말 종가,144.98,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-12-30),분할조정 종가 28.996 × 이후 분할계수 5,19
CF Industries,CF,2011Q4,2012-01-31,분기말 상장주식수,65476102,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2011Q4,2011-12-30,분기말 시가총액,9492725268,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2011-12-30) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912001620/,종가 144.98 × 주식수 65476102,19
CF Industries,CF,2012Q1,2012-03-31,분기별 매출액,1527600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-31,분기별 영업이익,671200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-31,분기별 당기순이익(지배),368400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-31,분기별 영업활동현금흐름,603200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-31,분기말 자산총계,9616900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-31,분기말 부채총계,4256000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,부채및자본 9616900000 − 총자본 5360900000,19
CF Industries,CF,2012Q1,2012-03-31,분기말 총자본(자기자본),5360900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-31,분기말 지배지분 자본,4931900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,,19
CF Industries,CF,2012Q1,2012-03-30,분기말 종가,182.65,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2012-03-30),분할조정 종가 36.53 × 이후 분할계수 5,19
CF Industries,CF,2012Q1,2012-04-30,분기말 상장주식수,65637938,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2012Q1,2012-03-30,분기말 시가총액,11988769376,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2012-03-30) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,종가 182.65 × 주식수 65637938,19
CF Industries,CF,2012Q2,2012-06-30,분기별 매출액,1735600000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,,19
CF Industries,CF,2012Q2,2012-06-30,분기별 영업이익,1005000000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,,19
CF Industries,CF,2012Q2,2012-06-30,분기별 당기순이익(지배),606300000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,3개월 연결 678300000 − 비지배 72000000,19
CF Industries,CF,2012Q2,2012-06-30,분기별 영업활동현금흐름,445500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912005384/,누적 1048700000 − 직전누적 603200000 (시작 2012-01-01),19
CF Industries,CF,2012Q2,2012-06-30,분기말 자산총계,9118900000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,,19
CF Industries,CF,2012Q2,2012-06-30,분기말 부채총계,3618700000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,부채및자본 9118900000 − 총자본 5500200000,19
CF Industries,CF,2012Q2,2012-06-30,분기말 총자본(자기자본),5500200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,,19
CF Industries,CF,2012Q2,2012-06-30,분기말 지배지분 자본,5019400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,,19
CF Industries,CF,2012Q2,2012-06-29,분기말 종가,193.74,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2012-06-29),분할조정 종가 38.748 × 이후 분할계수 5,19
CF Industries,CF,2012Q2,2012-07-31,분기말 상장주식수,62697305,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2012Q2,2012-06-29,분기말 시가총액,12146975871,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2012-06-29) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,종가 193.74 × 주식수 62697305,19
CF Industries,CF,2012Q3,2012-09-30,분기별 매출액,1359400000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,,19
CF Industries,CF,2012Q3,2012-09-30,분기별 영업이익,667100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,,19
CF Industries,CF,2012Q3,2012-09-30,분기별 당기순이익(지배),403300000,USD,계산(연결-비지배),https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,3개월 연결 458100000 − 비지배 54800000,19
CF Industries,CF,2012Q3,2012-09-30,분기별 영업활동현금흐름,905600000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912007878/,누적 1954300000 − 직전누적 1048700000 (시작 2012-01-01),19
CF Industries,CF,2012Q3,2012-09-30,분기말 자산총계,10182700000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,,19
CF Industries,CF,2012Q3,2012-09-30,분기말 부채총계,4204600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,부채및자본 10182700000 − 총자본 5978100000,19
CF Industries,CF,2012Q3,2012-09-30,분기말 총자본(자기자본),5978100000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,,19
CF Industries,CF,2012Q3,2012-09-30,분기말 지배지분 자본,5457300000,USD,공시,https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,,19
CF Industries,CF,2012Q3,2012-09-28,분기말 종가,222.24,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2012-09-28),분할조정 종가 44.448 × 이후 분할계수 5,19
CF Industries,CF,2012Q3,2012-10-31,분기말 상장주식수,62870583,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,dei:EntityCommonStockSharesOutstanding 클래스 합,19
CF Industries,CF,2012Q3,2012-09-28,분기말 시가총액,13972358366,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/CF?interval=1d&events=splits (2012-09-28) ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,종가 222.24 × 주식수 62870583,19
CF Industries,CF,2012Q4,2012-12-31,분기별 매출액,1481400000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1324404/000104746913001819/ ; https://www.sec.gov/Archives/edgar/data/1324404/000104746912010121/,연간 6104000000 − 9개월누적 4622600000 (SalesRevenueNet),19
