기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
CoStar,CSGP,2010Q2,2010-06-30,분기별 영업이익,4491000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1057352/000105735211000123/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-07-28 제출본의 비교기간에서 읽었다,28
CoStar,CSGP,2010Q2,2010-06-30,분기별 당기순이익(지배),3251000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1057352/000105735211000123/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-07-28 제출본의 비교기간에서 읽었다,28
CoStar,CSGP,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000047/,,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000047/,,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000047/,,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000047/,,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1057352/000105735210000047/,,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 종가,38.8,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/CSGP?interval=1d&events=splits (2010-06-30),분할조정 종가 3.88 × 이후 분할계수 10,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,28
CoStar,CSGP,2010Q2,2010-06-30,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,28
CoStar,CSGP,2010Q3,2010-09-30,분기별 매출액,57144000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1057352/000105735211000139/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-10-27 제출본의 비교기간에서 읽었다,28
