기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1375365/000119312510113084/,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 종가,17.28,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SMCI?interval=1d&events=splits (2010-03-31),분할조정 종가 1.728 × 이후 분할계수 10,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,15
Super Micro Computer,SMCI,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,15
