기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Stryker,SYK,2010Q1,2010-03-31,분기별 매출액,1799100000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,,6
Stryker,SYK,2010Q1,2010-03-31,분기별 영업이익,446400000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,,6
Stryker,SYK,2010Q1,2010-03-31,분기별 당기순이익(지배),321700000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,,6
Stryker,SYK,2010Q1,2010-03-31,분기별 영업활동현금흐름,274800000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,,6
Stryker,SYK,2010Q1,2010-03-31,분기말 자산총계,10098400000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,,6
Stryker,SYK,2010Q1,2010-03-31,분기말 부채총계,3427600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,부채및자본 10098400000 − 총자본 6670800000,6
Stryker,SYK,2010Q1,2010-03-31,분기말 총자본(자기자본),6670800000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2010Q1,2010-03-31,분기말 지배지분 자본,6670800000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,,6
Stryker,SYK,2010Q1,2010-03-31,분기말 종가,57.22,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-03-31),,6
Stryker,SYK,2010Q1,2010-03-31,분기말 상장주식수,396698933,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2010Q1,2010-03-31,분기말 시가총액,22699112946,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,종가 57.22 × 주식수 396698933,6
Stryker,SYK,2010Q2,2010-06-30,분기별 매출액,1758200000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,,6
Stryker,SYK,2010Q2,2010-06-30,분기별 영업이익,448100000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,,6
Stryker,SYK,2010Q2,2010-06-30,분기별 당기순이익(지배),319000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,,6
Stryker,SYK,2010Q2,2010-06-30,분기별 영업활동현금흐름,326700000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312510098095/,누적 601500000 − 직전누적 274800000 (시작 2010-01-01),6
Stryker,SYK,2010Q2,2010-06-30,분기말 자산총계,10060100000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,,6
Stryker,SYK,2010Q2,2010-06-30,분기말 부채총계,3314600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,부채및자본 10060100000 − 총자본 6745500000,6
Stryker,SYK,2010Q2,2010-06-30,분기말 총자본(자기자본),6745500000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2010Q2,2010-06-30,분기말 지배지분 자본,6745500000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,,6
Stryker,SYK,2010Q2,2010-06-30,분기말 종가,50.06,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-06-30),,6
Stryker,SYK,2010Q2,2010-07-31,분기말 상장주식수,396940168,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2010Q2,2010-06-30,분기말 시가총액,19870824810,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,종가 50.06 × 주식수 396940168,6
Stryker,SYK,2010Q3,2010-09-30,분기별 매출액,1767600000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,,6
Stryker,SYK,2010Q3,2010-09-30,분기별 영업이익,470500000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,,6
Stryker,SYK,2010Q3,2010-09-30,분기별 당기순이익(지배),337700000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,,6
Stryker,SYK,2010Q3,2010-09-30,분기별 영업활동현금흐름,428300000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312510182697/,누적 1029800000 − 직전누적 601500000 (시작 2010-01-01),6
Stryker,SYK,2010Q3,2010-09-30,분기말 자산총계,10771900000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,,6
Stryker,SYK,2010Q3,2010-09-30,분기말 부채총계,3465900000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,부채및자본 10771900000 − 총자본 7306000000,6
Stryker,SYK,2010Q3,2010-09-30,분기말 총자본(자기자본),7306000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2010Q3,2010-09-30,분기말 지배지분 자본,7306000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,,6
Stryker,SYK,2010Q3,2010-09-30,분기말 종가,50.05,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-09-30),,6
Stryker,SYK,2010Q3,2010-10-31,분기말 상장주식수,397120134,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2010Q3,2010-09-30,분기말 시가총액,19875862707,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,종가 50.05 × 주식수 397120134,6
Stryker,SYK,2010Q4,2010-12-31,분기별 매출액,1995100000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,연간 7320000000 − 9개월누적 5324900000 (SalesRevenueNet),6
Stryker,SYK,2010Q4,2010-12-31,분기별 영업이익,386400000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,연간 1751400000 − 9개월누적 1365000000 (OperatingIncomeLoss),6
Stryker,SYK,2010Q4,2010-12-31,분기별 당기순이익(지배),295000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,연간 1273400000 − 9개월누적 978400000 (NetIncomeLoss),6
Stryker,SYK,2010Q4,2010-12-31,분기별 영업활동현금흐름,517600000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312510248001/,누적 1547400000 − 직전누적 1029800000 (시작 2010-01-01),6
Stryker,SYK,2010Q4,2010-12-31,분기말 자산총계,10895100000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,,6
Stryker,SYK,2010Q4,2010-12-31,분기말 부채총계,3721500000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,부채및자본 10895100000 − 총자본 7173600000,6
Stryker,SYK,2010Q4,2010-12-31,분기말 총자본(자기자본),7173600000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2010Q4,2010-12-31,분기말 지배지분 자본,7173600000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,,6
Stryker,SYK,2010Q4,2010-12-31,분기말 종가,53.7,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-12-31),,6
Stryker,SYK,2010Q4,2011-01-31,분기말 상장주식수,391246163,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2010Q4,2010-12-31,분기말 시가총액,21009918953,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/310764/000119312511039845/,종가 53.7 × 주식수 391246163,6
Stryker,SYK,2011Q1,2011-03-31,분기별 매출액,2015200000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,,6
Stryker,SYK,2011Q1,2011-03-31,분기별 영업이익,423500000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,,6
Stryker,SYK,2011Q1,2011-03-31,분기별 당기순이익(지배),307400000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,,6
Stryker,SYK,2011Q1,2011-03-31,분기별 영업활동현금흐름,204500000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,,6
Stryker,SYK,2011Q1,2011-03-31,분기말 자산총계,11231000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,,6
Stryker,SYK,2011Q1,2011-03-31,분기말 부채총계,3778600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,부채및자본 11231000000 − 총자본 7452400000,6
Stryker,SYK,2011Q1,2011-03-31,분기말 총자본(자기자본),7452400000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2011Q1,2011-03-31,분기말 지배지분 자본,7452400000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,,6
Stryker,SYK,2011Q1,2011-03-31,분기말 종가,60.8,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2011-03-31),,6
Stryker,SYK,2011Q1,2011-03-31,분기말 상장주식수,388004426,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2011Q1,2011-03-31,분기말 시가총액,23590669101,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,종가 60.8 × 주식수 388004426,6
Stryker,SYK,2011Q2,2011-06-30,분기별 매출액,2045500000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,,6
Stryker,SYK,2011Q2,2011-06-30,분기별 영업이익,400300000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,,6
Stryker,SYK,2011Q2,2011-06-30,분기별 당기순이익(지배),309100000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,,6
Stryker,SYK,2011Q2,2011-06-30,분기별 영업활동현금흐름,156200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312511125202/,누적 360700000 − 직전누적 204500000 (시작 2011-01-01),6
Stryker,SYK,2011Q2,2011-06-30,분기말 자산총계,11596400000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,,6
Stryker,SYK,2011Q2,2011-06-30,분기말 부채총계,3818400000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,부채및자본 11596400000 − 총자본 7778000000,6
Stryker,SYK,2011Q2,2011-06-30,분기말 총자본(자기자본),7778000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2011Q2,2011-06-30,분기말 지배지분 자본,7778000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,,6
Stryker,SYK,2011Q2,2011-06-30,분기말 종가,58.69,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2011-06-30),,6
Stryker,SYK,2011Q2,2011-06-30,분기말 상장주식수,388328148,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2011Q2,2011-06-30,분기말 시가총액,22790979006,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,종가 58.69 × 주식수 388328148,6
Stryker,SYK,2011Q3,2011-09-30,분기별 매출액,2031000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,,6
Stryker,SYK,2011Q3,2011-09-30,분기별 영업이익,444000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,,6
Stryker,SYK,2011Q3,2011-09-30,분기별 당기순이익(지배),327000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,,6
Stryker,SYK,2011Q3,2011-09-30,분기별 영업활동현금흐름,446300000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/ ; https://www.sec.gov/Archives/edgar/data/310764/000119312511200017/,누적 807000000 − 직전누적 360700000 (시작 2011-01-01),6
Stryker,SYK,2011Q3,2011-09-30,분기말 자산총계,12083000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,,6
Stryker,SYK,2011Q3,2011-09-30,분기말 부채총계,4526000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,부채및자본 12083000000 − 총자본 7557000000,6
Stryker,SYK,2011Q3,2011-09-30,분기말 총자본(자기자본),7557000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,"StockholdersEquity, MinorityInterest 태그 없음",6
Stryker,SYK,2011Q3,2011-09-30,분기말 지배지분 자본,7557000000,USD,공시,https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,,6
Stryker,SYK,2011Q3,2011-09-30,분기말 종가,47.13,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2011-09-30),,6
Stryker,SYK,2011Q3,2011-09-30,분기말 상장주식수,382672989,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,dei:EntityCommonStockSharesOutstanding 클래스 합,6
Stryker,SYK,2011Q3,2011-09-30,분기말 시가총액,18035377972,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/SYK?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,종가 47.13 × 주식수 382672989,6
Stryker,SYK,2011Q4,2011-12-31,분기별 매출액,2215000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,연간 8307000000 − 9개월누적 6092000000 (SalesRevenueNet),6
Stryker,SYK,2011Q4,2011-12-31,분기별 영업이익,418000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,연간 1686000000 − 9개월누적 1268000000 (OperatingIncomeLoss),6
Stryker,SYK,2011Q4,2011-12-31,분기별 당기순이익(지배),401000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,연간 1345000000 − 9개월누적 944000000 (NetIncomeLoss),6
Stryker,SYK,2011Q4,2011-12-31,분기별 영업활동현금흐름,627000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/ ; https://www.sec.gov/Archives/edgar/data/310764/000031076411000151/,누적 1434000000 − 직전누적 807000000 (시작 2011-01-01),6
Stryker,SYK,2011Q4,2011-12-31,분기말 자산총계,12146000000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/310764/000031076414000021/,원 공시 12405000000 (https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/),6
Stryker,SYK,2011Q4,2011-12-31,분기말 부채총계,4463000000,USD,계산(부채및자본-총자본)(재작성 반영),https://www.sec.gov/Archives/edgar/data/310764/000031076413000054/,부채및자본 12146000000 − 총자본 7683000000 ; 원 공시 4722000000 (https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/),6
Stryker,SYK,2011Q4,2011-12-31,분기말 총자본(자기자본),7683000000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/310764/000031076412000031/,"StockholdersEquity, MinorityInterest 태그 없음",6
