기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Axon Enterprise,AXON,2010Q1,2010-03-31,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기별 영업이익,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기별 당기순이익(지배),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310047221/,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 종가,5.87,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/AXON?interval=1d&events=splits (2010-03-31),,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,12
Axon Enterprise,AXON,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기별 매출액,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310074225/,,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기별 영업이익,-3435734,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1069183/000095012311074475/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-08 제출본의 비교기간에서 읽었다,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기별 당기순이익(지배),-1359389,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/1069183/000095012311074475/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-08-08 제출본의 비교기간에서 읽었다,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310074225/,,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310074225/,,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310074225/,,12
Axon Enterprise,AXON,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/1069183/000095012310074225/,,12
