기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Alliant Energy,LNT,2010Q1,2010-03-31,분기별 매출액,890200000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,Revenues ; 그 분기 보고서에 연결 총계가 없어 2011-05-05 제출본의 비교기간에서 읽었다,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기별 영업이익,109000000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,OperatingIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-05 제출본의 비교기간에서 읽었다,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기별 당기순이익(지배),48100000,USD,공시(후속 보고서 비교기간),https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,NetIncomeLoss ; 그 분기 보고서에 연결 총계가 없어 2011-05-05 제출본의 비교기간에서 읽었다,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기별 영업활동현금흐름,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510106871/,,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 자산총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510106871/,,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 부채총계,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510106871/,,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510106871/,,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510106871/,,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 종가,33.26,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-03-31),분할조정 종가 16.63 × 이후 분할계수 2,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 상장주식수,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,22
Alliant Energy,LNT,2010Q1,2010-03-31,분기말 시가총액,미확인,,미확인,SEC companyfacts·XBRL 원문 모두 dei 표지 주식수 없음,,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기별 매출액,741600000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기별 영업이익,100700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기별 당기순이익(지배),52500000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기별 영업활동현금흐름,데이터 없음(직전 분기 누적 보고서 없음),USD,데이터 없음(직전 보고서 없음),https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 자산총계,9043600000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 부채총계,6078600000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,부채및자본 9043600000 − 총자본 2965000000,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,자체 검증 실패: 총자본 2965000000 ≠ 지배 2779100000 + 비지배 2100000,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,자체 검증 실패: 총자본 2965000000 ≠ 지배 2779100000 + 비지배 2100000,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 종가,31.74,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-06-30),분할조정 종가 15.87 × 이후 분할계수 2,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 상장주식수,110795815,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Alliant Energy,LNT,2010Q2,2010-06-30,분기말 시가총액,3516659168,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,종가 31.74 × 주식수 110795815,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기별 매출액,951700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기별 영업이익,246600000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기별 당기순이익(지배),153700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기별 영업활동현금흐름,216400000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312510179039/,누적 695600000 − 직전누적 479200000 (시작 2010-01-01),22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 자산총계,9225800000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 부채총계,6152200000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,부채및자본 9225800000 − 총자본 3073600000,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,자체 검증 실패: 총자본 3073600000 ≠ 지배 2887800000 + 비지배 2000000,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,자체 검증 실패: 총자본 3073600000 ≠ 지배 2887800000 + 비지배 2000000,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 종가,36.35,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-09-30),분할조정 종가 18.175 × 이후 분할계수 2,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 상장주식수,110855025,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Alliant Energy,LNT,2010Q3,2010-09-30,분기말 시가총액,4029580159,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,종가 36.35 × 주식수 110855025,22
Alliant Energy,LNT,2010Q4,2010-12-31,분기별 매출액,832600000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,연간 3416100000 − 9개월누적 2583500000 (Revenues),22
Alliant Energy,LNT,2010Q4,2010-12-31,분기별 영업이익,99800000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,연간 556100000 − 9개월누적 456300000 (OperatingIncomeLoss),22
Alliant Energy,LNT,2010Q4,2010-12-31,분기별 당기순이익(지배),52000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,연간 306300000 − 9개월누적 254300000 (NetIncomeLoss),22
Alliant Energy,LNT,2010Q4,2010-12-31,분기별 영업활동현금흐름,289300000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312510240771/,누적 984900000 − 직전누적 695600000 (시작 2010-01-01),22
Alliant Energy,LNT,2010Q4,2010-12-31,분기말 자산총계,9282900000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/,,22
Alliant Energy,LNT,2010Q4,2010-12-31,분기말 부채총계,6203500000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/,부채및자본 9282900000 − 총자본 3079400000,22
Alliant Energy,LNT,2010Q4,2010-12-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/,자체 검증 실패: 총자본 3079400000 ≠ 지배 2893600000 + 비지배 2000000,22
Alliant Energy,LNT,2010Q4,2010-12-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/,자체 검증 실패: 총자본 3079400000 ≠ 지배 2893600000 + 비지배 2000000,22
Alliant Energy,LNT,2010Q4,2010-12-31,분기말 종가,36.77,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-12-31),분할조정 종가 18.385 × 이후 분할계수 2,22
Alliant Energy,LNT,2010Q4,2011-01-31,분기말 상장주식수,110881189,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Alliant Energy,LNT,2010Q4,2010-12-31,분기말 시가총액,4077101320,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/352541/000119312511049662/,종가 36.77 × 주식수 110881189,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기별 매출액,945000000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기별 영업이익,127800000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기별 당기순이익(지배),79700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기별 영업활동현금흐름,261300000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 자산총계,9400500000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 부채총계,6292900000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,부채및자본 9400500000 − 총자본 3107600000,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,자체 검증 실패: 총자본 3107600000 ≠ 지배 2920500000 + 비지배 2000000,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,자체 검증 실패: 총자본 3107600000 ≠ 지배 2920500000 + 비지배 2000000,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 종가,38.93,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-03-31),분할조정 종가 19.465 × 이후 분할계수 2,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 상장주식수,110942128,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Alliant Energy,LNT,2011Q1,2011-03-31,분기말 시가총액,4318977043,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,종가 38.93 × 주식수 110942128,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기별 매출액,819500000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기별 영업이익,72000000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기별 당기순이익(지배),55300000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기별 영업활동현금흐름,205500000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312511127887/,누적 466800000 − 직전누적 261300000 (시작 2011-01-01),22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 자산총계,9301200000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 부채총계,6226900000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,부채및자본 9301200000 − 총자본 3074300000,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,자체 검증 실패: 총자본 3074300000 ≠ 지배 2927200000 + 비지배 2000000,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,자체 검증 실패: 총자본 3074300000 ≠ 지배 2927200000 + 비지배 2000000,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 종가,40.66,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-06-30),분할조정 종가 20.33 × 이후 분할계수 2,22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 상장주식수,137586900,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,"XBRL 원문 dei:EntityCommonStockSharesOutstanding 3개 클래스 합 ; 클래스별(2011-06-30): AlliantEnergyCorporationMember 110979511, IplMember 13370788, WplMember 13236601",22
Alliant Energy,LNT,2011Q2,2011-06-30,분기말 시가총액,5594283354,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,종가 40.66 × 주식수 137586900,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기별 매출액,1021600000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기별 영업이익,185100000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기별 당기순이익(지배),125900000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기별 영업활동현금흐름,145900000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312511211511/,누적 612700000 − 직전누적 466800000 (시작 2011-01-01),22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 자산총계,9481300000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 부채총계,6332800000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,부채및자본 9481300000 − 총자본 3148500000,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,자체 검증 실패: 총자본 3148500000 ≠ 지배 3001600000 + 비지배 1800000,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,자체 검증 실패: 총자본 3148500000 ≠ 지배 3001600000 + 비지배 1800000,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 종가,38.68,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-09-30),분할조정 종가 19.34 × 이후 분할계수 2,22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 상장주식수,137588900,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,"XBRL 원문 dei:EntityCommonStockSharesOutstanding 3개 클래스 합 ; 클래스별(2011-09-30): AlliantEnergyCorporationMember 110981511, IplMember 13370788, WplMember 13236601",22
Alliant Energy,LNT,2011Q3,2011-09-30,분기말 시가총액,5321938652,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,종가 38.68 × 주식수 137588900,22
Alliant Energy,LNT,2011Q4,2011-12-31,분기별 매출액,879200000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,연간 3665300000 − 9개월누적 2786100000 (Revenues),22
Alliant Energy,LNT,2011Q4,2011-12-31,분기별 영업이익,93500000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,연간 478400000 − 9개월누적 384900000 (OperatingIncomeLoss),22
Alliant Energy,LNT,2011Q4,2011-12-31,분기별 당기순이익(지배),61000000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,연간 321900000 − 9개월누적 260900000 (NetIncomeLoss),22
Alliant Energy,LNT,2011Q4,2011-12-31,분기별 영업활동현금흐름,90000000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312511295400/,누적 702700000 − 직전누적 612700000 (시작 2011-01-01),22
Alliant Energy,LNT,2011Q4,2011-12-31,분기말 자산총계,9687900000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/,,22
Alliant Energy,LNT,2011Q4,2011-12-31,분기말 부채총계,6528000000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/,부채및자본 9687900000 − 총자본 3159900000,22
Alliant Energy,LNT,2011Q4,2011-12-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/,자체 검증 실패: 총자본 3159900000 ≠ 지배 3013000000 + 비지배 1800000,22
Alliant Energy,LNT,2011Q4,2011-12-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/,자체 검증 실패: 총자본 3159900000 ≠ 지배 3013000000 + 비지배 1800000,22
Alliant Energy,LNT,2011Q4,2011-12-30,분기말 종가,44.11,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-12-30),분할조정 종가 22.055 × 이후 분할계수 2,22
Alliant Energy,LNT,2011Q4,2012-01-31,분기말 상장주식수,137616040,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/,"XBRL 원문 dei:EntityCommonStockSharesOutstanding 3개 클래스 합 ; 클래스별(2012-01-31): AlliantEnergyCorporationMember 111008651, IplMember 13370788, WplMember 13236601",22
Alliant Energy,LNT,2011Q4,2011-12-30,분기말 시가총액,6070243524,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2011-12-30) ; https://www.sec.gov/Archives/edgar/data/352541/000119312512081622/,종가 44.11 × 주식수 137616040,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기별 매출액,765700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기별 영업이익,95600000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기별 당기순이익(지배),38900000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기별 영업활동현금흐름,215000000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기말 자산총계,9628200000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기말 부채총계,6483800000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,부채및자본 9628200000 − 총자본 3144400000,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,자체 검증 실패: 총자본 3144400000 ≠ 지배 2997500000 + 비지배 1800000,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,자체 검증 실패: 총자본 3144400000 ≠ 지배 2997500000 + 비지배 1800000,22
Alliant Energy,LNT,2012Q1,2012-03-30,분기말 종가,43.32,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2012-03-30),분할조정 종가 21.66 × 이후 분할계수 2,22
Alliant Energy,LNT,2012Q1,2012-03-31,분기말 상장주식수,137569478,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,"XBRL 원문 dei:EntityCommonStockSharesOutstanding 3개 클래스 합 ; 클래스별(2012-03-31): AlliantEnergyCorporationMember 110962089, IplMember 13370788, WplMember 13236601",22
Alliant Energy,LNT,2012Q1,2012-03-30,분기말 시가총액,5959509787,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2012-03-30) ; https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,종가 43.32 × 주식수 137569478,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기별 매출액,690300000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기별 영업이익,108800000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기별 당기순이익(지배),69800000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기별 영업활동현금흐름,124200000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/ ; https://www.sec.gov/Archives/edgar/data/352541/000119312512211596/,누적 339200000 − 직전누적 215000000 (시작 2012-01-01),22
Alliant Energy,LNT,2012Q2,2012-06-30,분기말 자산총계,9934200000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기말 부채총계,6772900000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,부채및자본 9934200000 − 총자본 3161300000,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,자체 검증 실패: 총자본 3161300000 ≠ 지배 3014400000 + 비지배 1800000,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,자체 검증 실패: 총자본 3161300000 ≠ 지배 3014400000 + 비지배 1800000,22
Alliant Energy,LNT,2012Q2,2012-06-29,분기말 종가,45.57,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2012-06-29),분할조정 종가 22.785 × 이후 분할계수 2,22
Alliant Energy,LNT,2012Q2,2012-06-30,분기말 상장주식수,110976142,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Alliant Energy,LNT,2012Q2,2012-06-29,분기말 시가총액,5057182791,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2012-06-29) ; https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,종가 45.57 × 주식수 110976142,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기별 매출액,887600000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기별 영업이익,213700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기별 당기순이익(지배),154700000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기별 영업활동현금흐름,261100000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/ ; https://www.sec.gov/Archives/edgar/data/352541/000035254112000008/,누적 600300000 − 직전누적 339200000 (시작 2012-01-01),22
Alliant Energy,LNT,2012Q3,2012-09-30,분기말 자산총계,10250900000,USD,공시,https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기말 부채총계,6988100000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,부채및자본 10250900000 − 총자본 3262800000,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기말 총자본(자기자본),미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,자체 검증 실패: 총자본 3262800000 ≠ 지배 3116000000 + 비지배 1700000,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기말 지배지분 자본,미확인,USD,미확인,https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,자체 검증 실패: 총자본 3262800000 ≠ 지배 3116000000 + 비지배 1700000,22
Alliant Energy,LNT,2012Q3,2012-09-28,분기말 종가,43.39,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2012-09-28),분할조정 종가 21.695 × 이후 분할계수 2,22
Alliant Energy,LNT,2012Q3,2012-09-30,분기말 상장주식수,110987400,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,dei:EntityCommonStockSharesOutstanding 클래스 합,22
Alliant Energy,LNT,2012Q3,2012-09-28,분기말 시가총액,4815743286,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/LNT?interval=1d&events=splits (2012-09-28) ; https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,종가 43.39 × 주식수 110987400,22
Alliant Energy,LNT,2012Q4,2012-12-31,분기별 매출액,750900000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000035254113000007/ ; https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,연간 3094500000 − 9개월누적 2343600000 (Revenues),22
Alliant Energy,LNT,2012Q4,2012-12-31,분기별 영업이익,101600000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/352541/000035254113000007/ ; https://www.sec.gov/Archives/edgar/data/352541/000035254112000017/,연간 519700000 − 9개월누적 418100000 (OperatingIncomeLoss),22
