기업,종목코드,기간,기준일,항목,값,통화,값구분,출처,검산,라운드
Cencora,COR,2010Q1,2010-03-31,분기별 매출액,19300627000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,,9
Cencora,COR,2010Q1,2010-03-31,분기별 영업이익,311227000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,,9
Cencora,COR,2010Q1,2010-03-31,분기별 당기순이익(지배),181008000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,,9
Cencora,COR,2010Q1,2010-03-31,분기별 영업활동현금흐름,388082000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310009185/,누적 346393000 − 직전누적 -41689000 (시작 2009-10-01),9
Cencora,COR,2010Q1,2010-03-31,분기말 자산총계,13822288000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,,9
Cencora,COR,2010Q1,2010-03-31,분기말 부채총계,10990366000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,부채및자본 13822288000 − 총자본 2831922000,9
Cencora,COR,2010Q1,2010-03-31,분기말 총자본(자기자본),2831922000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2010Q1,2010-03-31,분기말 지배지분 자본,2831922000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,,9
Cencora,COR,2010Q1,2010-03-31,분기말 종가,28.92,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-03-31),,9
Cencora,COR,2010Q1,2010-04-30,분기말 상장주식수,282520332,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2010Q1,2010-03-31,분기말 시가총액,8170488001,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-03-31) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,종가 28.92 × 주식수 282520332,9
Cencora,COR,2010Q2,2010-06-30,분기별 매출액,19602120000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,,9
Cencora,COR,2010Q2,2010-06-30,분기별 영업이익,281854000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,,9
Cencora,COR,2010Q2,2010-06-30,분기별 당기순이익(지배),163205000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,,9
Cencora,COR,2010Q2,2010-06-30,분기별 영업활동현금흐름,212998000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310046278/,누적 559391000 − 직전누적 346393000 (시작 2009-10-01),9
Cencora,COR,2010Q2,2010-06-30,분기말 자산총계,14003785000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,,9
Cencora,COR,2010Q2,2010-06-30,분기말 부채총계,11072594000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,부채및자본 14003785000 − 총자본 2931191000,9
Cencora,COR,2010Q2,2010-06-30,분기말 총자본(자기자본),2931191000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2010Q2,2010-06-30,분기말 지배지분 자본,2931191000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,,9
Cencora,COR,2010Q2,2010-06-30,분기말 종가,31.75,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-06-30),,9
Cencora,COR,2010Q2,2010-07-31,분기말 상장주식수,278837313,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2010Q2,2010-06-30,분기말 시가총액,8853084688,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-06-30) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,종가 31.75 × 주식수 278837313,9
Cencora,COR,2010Q3,2010-09-30,분기별 매출액,19715373000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,연간 77953979000 − 9개월누적 58238606000 (Revenues),9
Cencora,COR,2010Q3,2010-09-30,분기별 영업이익,248172000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,연간 1103635000 − 9개월누적 855463000 (OperatingIncomeLoss),9
Cencora,COR,2010Q3,2010-09-30,분기별 당기순이익(지배),141228000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,연간 636748000 − 9개월누적 495520000 (NetIncomeLoss),9
Cencora,COR,2010Q3,2010-09-30,분기별 영업활동현금흐름,549233000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310071622/,누적 1108624000 − 직전누적 559391000 (시작 2009-10-01),9
Cencora,COR,2010Q3,2010-09-30,분기말 자산총계,14434843000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/,,9
Cencora,COR,2010Q3,2010-09-30,분기말 부채총계,11480546000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/,부채및자본 14434843000 − 총자본 2954297000,9
Cencora,COR,2010Q3,2010-09-30,분기말 총자본(자기자본),2954297000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2010Q3,2010-09-30,분기말 지배지분 자본,2954297000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/,,9
Cencora,COR,2010Q3,2010-09-30,분기말 종가,30.66,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-09-30),,9
Cencora,COR,2010Q3,2010-09-30,분기말 상장주식수,276347761,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2010Q3,2010-09-30,분기말 시가총액,8472822352,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-09-30) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012310108165/,종가 30.66 × 주식수 276347761,9
Cencora,COR,2010Q4,2010-12-31,분기별 매출액,19888609000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,,9
Cencora,COR,2010Q4,2010-12-31,분기별 영업이익,276766000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,,9
Cencora,COR,2010Q4,2010-12-31,분기별 당기순이익(지배),160500000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,,9
Cencora,COR,2010Q4,2010-12-31,분기별 영업활동현금흐름,-99200000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,,9
Cencora,COR,2010Q4,2010-12-31,분기말 자산총계,14132319000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,,9
Cencora,COR,2010Q4,2010-12-31,분기말 부채총계,11170313000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,부채및자본 14132319000 − 총자본 2962006000,9
Cencora,COR,2010Q4,2010-12-31,분기말 총자본(자기자본),2962006000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2010Q4,2010-12-31,분기말 지배지분 자본,2962006000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,,9
Cencora,COR,2010Q4,2010-12-31,분기말 종가,34.12,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-12-31),,9
Cencora,COR,2010Q4,2011-01-31,분기말 상장주식수,274094567,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2010Q4,2010-12-31,분기말 시가총액,9352106626,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2010-12-31) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,종가 34.12 × 주식수 274094567,9
Cencora,COR,2011Q1,2011-03-31,분기별 매출액,19760257000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,,9
Cencora,COR,2011Q1,2011-03-31,분기별 영업이익,365249000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,,9
Cencora,COR,2011Q1,2011-03-31,분기별 당기순이익(지배),214381000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,,9
Cencora,COR,2011Q1,2011-03-31,분기별 영업활동현금흐름,676404000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311010083/,누적 577204000 − 직전누적 -99200000 (시작 2010-10-01),9
Cencora,COR,2011Q1,2011-03-31,분기말 자산총계,14681016000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,,9
Cencora,COR,2011Q1,2011-03-31,분기말 부채총계,11547986000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,부채및자본 14681016000 − 총자본 3133030000,9
Cencora,COR,2011Q1,2011-03-31,분기말 총자본(자기자본),3133030000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2011Q1,2011-03-31,분기말 지배지분 자본,3133030000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,,9
Cencora,COR,2011Q1,2011-03-31,분기말 종가,39.56,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-03-31),,9
Cencora,COR,2011Q1,2011-04-30,분기말 상장주식수,273962768,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2011Q1,2011-03-31,분기말 시가총액,10837967102,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-03-31) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,종가 39.56 × 주식수 273962768,9
Cencora,COR,2011Q2,2011-06-30,분기별 매출액,20161022000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,,9
Cencora,COR,2011Q2,2011-06-30,분기별 영업이익,317159000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,,9
Cencora,COR,2011Q2,2011-06-30,분기별 당기순이익(지배),184419000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,,9
Cencora,COR,2011Q2,2011-06-30,분기별 영업활동현금흐름,230641000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311046380/,누적 807845000 − 직전누적 577204000 (시작 2010-10-01),9
Cencora,COR,2011Q2,2011-06-30,분기말 자산총계,14855729000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,,9
Cencora,COR,2011Q2,2011-06-30,분기말 부채총계,11652649000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,부채및자본 14855729000 − 총자본 3203080000,9
Cencora,COR,2011Q2,2011-06-30,분기말 총자본(자기자본),3203080000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2011Q2,2011-06-30,분기말 지배지분 자본,3203080000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,,9
Cencora,COR,2011Q2,2011-06-30,분기말 종가,41.4,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-06-30),,9
Cencora,COR,2011Q2,2011-07-31,분기말 상장주식수,269256615,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2011Q2,2011-06-30,분기말 시가총액,11147223861,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-06-30) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,종가 41.4 × 주식수 269256615,9
Cencora,COR,2011Q3,2011-09-30,분기별 매출액,20407670000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,연간 80217558000 − 9개월누적 59809888000 (Revenues),9
Cencora,COR,2011Q3,2011-09-30,분기별 영업이익,243571000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,연간 1202745000 − 9개월누적 959174000 (OperatingIncomeLoss),9
Cencora,COR,2011Q3,2011-09-30,분기별 당기순이익(지배),147324000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,연간 706624000 − 9개월누적 559300000 (NetIncomeLoss),9
Cencora,COR,2011Q3,2011-09-30,분기별 영업활동현금흐름,360103000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/ ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311074354/,누적 1167948000 − 직전누적 807845000 (시작 2010-10-01),9
Cencora,COR,2011Q3,2011-09-30,분기말 자산총계,14982671000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/,,9
Cencora,COR,2011Q3,2011-09-30,분기말 부채총계,12115813000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/,부채및자본 14982671000 − 총자본 2866858000,9
Cencora,COR,2011Q3,2011-09-30,분기말 총자본(자기자본),2866858000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2011Q3,2011-09-30,분기말 지배지분 자본,2866858000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/,,9
Cencora,COR,2011Q3,2011-09-30,분기말 종가,37.27,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-09-30),,9
Cencora,COR,2011Q3,2011-09-30,분기말 상장주식수,258343469,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2011Q3,2011-09-30,분기말 시가총액,9628461090,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-09-30) ; https://www.sec.gov/Archives/edgar/data/1140859/000095012311100028/,종가 37.27 × 주식수 258343469,9
Cencora,COR,2011Q4,2011-12-31,분기별 매출액,20360645000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,,9
Cencora,COR,2011Q4,2011-12-31,분기별 영업이익,284914000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,,9
Cencora,COR,2011Q4,2011-12-31,분기별 당기순이익(지배),162116000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,,9
Cencora,COR,2011Q4,2011-12-31,분기별 영업활동현금흐름,431703000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,,9
Cencora,COR,2011Q4,2011-12-31,분기말 자산총계,15978266000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,,9
Cencora,COR,2011Q4,2011-12-31,분기말 부채총계,13073667000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,부채및자본 15978266000 − 총자본 2904599000,9
Cencora,COR,2011Q4,2011-12-31,분기말 총자본(자기자본),2904599000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2011Q4,2011-12-31,분기말 지배지분 자본,2904599000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,,9
Cencora,COR,2011Q4,2011-12-30,분기말 종가,37.19,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-12-30),,9
Cencora,COR,2011Q4,2012-01-31,분기말 상장주식수,257834417,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2011Q4,2011-12-30,분기말 시가총액,9588861968,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2011-12-30) ; https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,종가 37.19 × 주식수 257834417,9
Cencora,COR,2012Q1,2012-03-31,분기별 매출액,20071271000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,,9
Cencora,COR,2012Q1,2012-03-31,분기별 영업이익,368101000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,,9
Cencora,COR,2012Q1,2012-03-31,분기별 당기순이익(지배),212105000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,,9
Cencora,COR,2012Q1,2012-03-31,분기별 영업활동현금흐름,236421000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/ ; https://www.sec.gov/Archives/edgar/data/1140859/000119312512042810/,누적 668124000 − 직전누적 431703000 (시작 2011-10-01),9
Cencora,COR,2012Q1,2012-03-31,분기말 자산총계,15645036000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,,9
Cencora,COR,2012Q1,2012-03-31,분기말 부채총계,12698561000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,부채및자본 15645036000 − 총자본 2946475000,9
Cencora,COR,2012Q1,2012-03-31,분기말 총자본(자기자본),2946475000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2012Q1,2012-03-31,분기말 지배지분 자본,2946475000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,,9
Cencora,COR,2012Q1,2012-03-30,분기말 종가,39.66,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-03-30),,9
Cencora,COR,2012Q1,2012-04-30,분기말 상장주식수,252962934,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2012Q1,2012-03-30,분기말 시가총액,10032509962,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-03-30) ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,종가 39.66 × 주식수 252962934,9
Cencora,COR,2012Q2,2012-06-30,분기별 매출액,19769384000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,,9
Cencora,COR,2012Q2,2012-06-30,분기별 영업이익,313695000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,,9
Cencora,COR,2012Q2,2012-06-30,분기별 당기순이익(지배),181271000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,,9
Cencora,COR,2012Q2,2012-06-30,분기별 영업활동현금흐름,91931000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/ ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912035760/,누적 760055000 − 직전누적 668124000 (시작 2011-10-01),9
Cencora,COR,2012Q2,2012-06-30,분기말 자산총계,15747592000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,,9
Cencora,COR,2012Q2,2012-06-30,분기말 부채총계,12817877000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,부채및자본 15747592000 − 총자본 2929715000,9
Cencora,COR,2012Q2,2012-06-30,분기말 총자본(자기자본),2929715000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2012Q2,2012-06-30,분기말 지배지분 자본,2929715000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,,9
Cencora,COR,2012Q2,2012-06-29,분기말 종가,39.35,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-06-29),,9
Cencora,COR,2012Q2,2012-07-31,분기말 상장주식수,251636854,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2012Q2,2012-06-29,분기말 시가총액,9901910205,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-06-29) ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,종가 39.35 × 주식수 251636854,9
Cencora,COR,2012Q3,2012-09-30,분기별 매출액,19288296000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/ ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,연간 79489596000 − 9개월누적 60201300000 (Revenues),9
Cencora,COR,2012Q3,2012-09-30,분기별 영업이익,286018000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/ ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,연간 1252728000 − 9개월누적 966710000 (OperatingIncomeLoss),9
Cencora,COR,2012Q3,2012-09-30,분기별 당기순이익(지배),163494000,USD,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/ ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,연간 718986000 − 9개월누적 555492000 (NetIncomeLoss),9
Cencora,COR,2012Q3,2012-09-30,분기별 영업활동현금흐름,545394000,USD,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/ ; https://www.sec.gov/Archives/edgar/data/1140859/000110465912056330/,누적 1305449000 − 직전누적 760055000 (시작 2011-10-01),9
Cencora,COR,2012Q3,2012-09-30,분기말 자산총계,15442256000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1140859/000104746913010867/,원 공시 15444126000 (https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/),9
Cencora,COR,2012Q3,2012-09-30,분기말 부채총계,12987414000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/,부채및자본 15444126000 − 총자본 2456712000,9
Cencora,COR,2012Q3,2012-09-30,분기말 총자본(자기자본),2454842000,USD,공시(비지배 없음)(재작성 반영),https://www.sec.gov/Archives/edgar/data/1140859/000104746915008939/,"StockholdersEquity, MinorityInterest 태그 없음 ; 원 공시 2456712000 (https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/)",9
Cencora,COR,2012Q3,2012-09-30,분기말 지배지분 자본,2454842000,USD,공시(재작성 반영),https://www.sec.gov/Archives/edgar/data/1140859/000104746915008939/,원 공시 2456712000 (https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/),9
Cencora,COR,2012Q3,2012-09-28,분기말 종가,38.71,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-09-28),,9
Cencora,COR,2012Q3,2012-10-31,분기말 상장주식수,235475712,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2012Q3,2012-09-28,분기말 시가총액,9115264812,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-09-28) ; https://www.sec.gov/Archives/edgar/data/1140859/000104746912010807/,종가 38.71 × 주식수 235475712,9
Cencora,COR,2012Q4,2012-12-31,분기별 매출액,21466314000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,,9
Cencora,COR,2012Q4,2012-12-31,분기별 영업이익,287259000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,,9
Cencora,COR,2012Q4,2012-12-31,분기별 당기순이익(지배),168611000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,,9
Cencora,COR,2012Q4,2012-12-31,분기별 영업활동현금흐름,-241707000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,,9
Cencora,COR,2012Q4,2012-12-31,분기말 자산총계,15495532000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,,9
Cencora,COR,2012Q4,2012-12-31,분기말 부채총계,13158297000,USD,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,부채및자본 15495532000 − 총자본 2337235000,9
Cencora,COR,2012Q4,2012-12-31,분기말 총자본(자기자본),2337235000,USD,공시(비지배 없음),https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,"StockholdersEquity, MinorityInterest 태그 없음",9
Cencora,COR,2012Q4,2012-12-31,분기말 지배지분 자본,2337235000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,,9
Cencora,COR,2012Q4,2012-12-31,분기말 종가,43.18,USD,API,https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-12-31),,9
Cencora,COR,2012Q4,2013-01-31,분기말 상장주식수,230172685,주,공시(표지 기준일),https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,dei:EntityCommonStockSharesOutstanding 클래스 합,9
Cencora,COR,2012Q4,2012-12-31,분기말 시가총액,9938856538,USD,계산(종가×주식수),https://query1.finance.yahoo.com/v8/finance/chart/COR?interval=1d&events=splits (2012-12-31) ; https://www.sec.gov/Archives/edgar/data/1140859/000110465913008778/,종가 43.18 × 주식수 230172685,9
Cencora,COR,2013Q1,2013-03-31,분기별 매출액,20523668000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913039347/,,9
Cencora,COR,2013Q1,2013-03-31,분기별 영업이익,350123000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913039347/,,9
Cencora,COR,2013Q1,2013-03-31,분기별 당기순이익(지배),45634000,USD,공시,https://www.sec.gov/Archives/edgar/data/1140859/000110465913039347/,,9
