기업,종목코드,기간,기준일,항목,구분,원 공시값,원 값구분,원 출처,나중 보고서 값,나중 보고서 출처,라운드
Valero Energy,VLO,2010Q1,2010-03-31,분기별 영업이익,재분류(미반영),-32000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000095012310046222/,4000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000008/,6
Valero Energy,VLO,2010Q2,2010-06-30,분기별 영업이익,재분류(미반영),921000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000095012310073857/,904000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000008/,6
Valero Energy,VLO,2010Q3,2010-09-30,분기별 영업이익,재분류(미반영),571000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000095012310100154/,590000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000008/,6
Valero Energy,VLO,2012Q1,2012-03-31,분기별 영업활동현금흐름,재작성 반영,1704000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500212000032/,1544000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000037/,6
Valero Energy,VLO,2012Q4,2012-12-31,분기별 영업이익,재분류(미반영),1584000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1035002/000103500213000008/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500212000059/,2618000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500212000059/,6
Valero Energy,VLO,2012Q4,2012-12-31,분기별 영업활동현금흐름,재작성 반영,163000000,계산(누적차감),https://www.sec.gov/Archives/edgar/data/1035002/000103500213000008/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500212000059/,323000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000008/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500213000066/,6
Valero Energy,VLO,2013Q1,2013-03-31,분기별 영업이익,재분류(미반영),1061000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000037/,1058000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/,6
Valero Energy,VLO,2013Q2,2013-06-30,분기별 영업이익,재분류(미반영),808000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500213000060/,805000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500215000009/,6
Valero Energy,VLO,2014Q1,2014-03-31,분기별 영업이익,재분류(미반영),1350000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500214000036/,1351000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500216000069/,6
Valero Energy,VLO,2015Q4,2015-12-31,분기말 자산총계,재작성 반영,44343000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500216000069/,44227000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000009/,6
Valero Energy,VLO,2015Q4,2015-12-31,분기말 부채총계,재작성 반영,22989000000,계산(부채및자본-총자본),https://www.sec.gov/Archives/edgar/data/1035002/000103500216000069/,22873000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000009/,6
Valero Energy,VLO,2016Q4,2016-12-31,분기별 영업이익,재작성 반영,620000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1035002/000103500217000009/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500216000123/,582000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500216000123/,6
Valero Energy,VLO,2017Q1,2017-03-31,분기별 영업이익,재작성 반영,537000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000032/,528000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/,6
Valero Energy,VLO,2017Q2,2017-06-30,분기별 영업이익,재작성 반영,871000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000044/,860000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/,6
Valero Energy,VLO,2017Q3,2017-09-30,분기별 영업이익,재작성 반영,1338000000,공시,https://www.sec.gov/Archives/edgar/data/1035002/000103500217000062/,1332000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500219000008/,6
Valero Energy,VLO,2017Q4,2017-12-31,분기별 영업이익,재작성 반영,853000000,계산(연간-3분기누적),https://www.sec.gov/Archives/edgar/data/1035002/000103500218000010/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500217000062/,843000000,https://www.sec.gov/Archives/edgar/data/1035002/000103500220000007/ ; https://www.sec.gov/Archives/edgar/data/1035002/000103500218000047/,6
